objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,IMG_5293 2.JPG,,,Fore-edge Painting,,1785,Fore-edge painting on the books' side edge. ,,,,,,,,,,,
coll002,jaque,,,Jean-Jacque Rousseau,,5/29/1712,"Jean-Jacques Rousseau was born in Geneva, Switzerland on June 28th, 1712.",Birth Place,"Geneva, Switzerland",6.1432° E,"46.2044° N,",,,Picture,,,,
coll003,IMG_5291 2.JPG,,,Fore-edge Painting,,1785,Fore-edge painting,,,,,,,,,,,
coll004,IMG_0268.jpg,,,Fore-edge Painting,,1785,View of a painting with description ,,,,,,,,,,,
coll005,IMG_0276.JPG,,,Inside Cover Artwork,,1785,Art work on the inside of the cover,,,,,,,,,,,
coll006,IMG_0280.jpg,,,Title Page,,1785,Title Page,,,,,,,,,,,
coll007,IMG_0279.jpg,,,Title Page,,1785,Description of book,,,,,,,,,,,
coll008,IMG_0273.JPG,,,,,1785,Page in the book that folds out for a deeper look,,,,,,,,,,,
coll009,,,,,,1771-1773,Rousseau worked on his Lettres Elementaires Sur La Botanique in 1771-73. ,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,
